name,license_type,address,city,region,state,zip_code,phone_number,latitude,longitude,email
NRC Holistic Health Services Clinic,hybrid,5272 Jerusalem Court Suite D,Modesto,Modesto,CA,95356,2093225129,37.716751,-120.999821,naturalremediesconsulting@gmail.com
THC - The Healing Center,hybrid,1400 Needles Hwy. Unit 100,Needles,Needles / Blythe,CA,92363,7604472663,34.848528,-114.610832,ilovethcneedles@yahoo.com
Hazel,hybrid,17523 Ventura Blvd.,Encino,Encino,CA,91316,8189291311,34.161825,-118.515021,www.hazelcollective@yahoo.com
THCSD,hybrid,"3703 Camino Del Rio South, Suite 215A",San Diego,Mission Valley,CA,92108,8583242420,32.777607,-117.115089,thcsd420@gmail.com
Green America,hybrid,1173 Harley Knox Blvd,Perris,Perris,CA,92571,9514207934,33.858757,-117.251924,Greenlifecultures@gmail.com
Mission Hills Patients Collective,hybrid,18446 Hart St. Unit M2,Reseda,Northridge / Chatsworth / Reseda,CA,91335,8187467313,34.1972522,-118.5348403,MHPCOLLECTIVE1@GMAIL.COM
Sun Valley Caregivers,hybrid,11000 Randall St. #E,Sun Valley,Sun Valley / Sunland / Tujunga,CA,91352,8185042661,34.23762,-118.37047,sunvalleycaregivers@gmail.com
Sol De Mendocino / Love In It,hybrid,45110 Main Street,MENDOCINO,Mendocino,CA,95460,7079373123,39.304748,-123.801806,soldemendocino@gmail.com
Venice Medical Center,hybrid,9636 Venice Blvd,Culver City,Culver City,CA,90232,4242931121,34.024321,-118.396509,venicemedicalcenterinfo@gmail.com
Empire Twin Palms,recreational,9806 Mission Blvd,Riverside,Jurupa Valley,CA,92509,9514167006,34.011298,-117.498998,EmpireTwinPalms@gmail.com
The Peoples Remedy Patterson,hybrid,16537 CA State Hwy 33,Patterson,Patterson,CA,95363,2096406878,37.459241,-121.120247,tpr.patterson@gmail.com
Deserts Finest,recreational,12106 Palm Dr,Desert Hot Springs,Palm Springs,CA,92240,8334385874,33.960645,-116.501145,info@desertsfinest.org
NACCC,hybrid,1719 Pacific Coast Highway,Lomita,Torrance,CA,90717,3102570011,33.789672,-118.308298,naccc310@gmail.com
Monterey Bay Alternative Medicine,hybrid,800 Portola Drive,Del Rey Oaks,Monterey,CA,93940,8313932500,36.598858,-121.850289,info@montereybayaltmed.com
The Plug - Hollywood,hybrid,980 North La Cienega #102,Los Angeles,West Hollywood,CA,90069,4242799497,34.08897,-118.37622,exhalemedcenter@gmail.com
Clique Cannabis,hybrid,6142 Walker Ave,Maywood,South Gate / Huntington Park / Downey,CA,90270,3238864420,33.980571,-118.172585,info@ogsinsemilla.delivery
High Season - DTLA,hybrid,2222 East Olympic Blvd.,Los Angeles,Downtown LA,CA,90021,9093548004,34.02589,-118.23261,dtla@shophighseason.com
From the Earth - Port Hueneme,hybrid,2675 N Ventura Rd #107,Port Hueneme,Oxnard / Camarillo,CA,93041,8054141394,34.17832,-119.196375,fromtheearth805@gmail.com
Harbor Collective,hybrid,2405 E Harbor Drive,San Diego,Gaslamp District,CA,92113,6198412045,32.692331,-117.139178,harborcollective@hotmail.com
